"Date";"Text";"Amount";"Balance";"Status";"Reconciled"
"18.07.2025";"MobilePay Gkloria Kyrila";"-1.000,00";"165.164,69";"Executed";"No"
"19.07.2025";"MobilePay Gkloria Kyrila";"-1.500,00";"163.664,69";"Executed";"No"
"21.07.2025";"American Express";"-3.167,64";"160.497,05";"Executed";"No"
"23.07.2025";"B-Tax for house";"-34.022,00";"126.475,05";"Executed";"No"
"28.07.2025";"osfrisørartikler.d 34767";"-232,00";"126.243,05";"Executed";"No"
"31.07.2025";"Holte Apotek -- IVF";"-2.171,80";"124.071,25";"Executed";"No"
"31.07.2025";"To Fertilitetsklinikken";"-37.900,00";"86.171,25";"Executed";"No"
"01.08.2025";"Strømlinet A/S";"-3.106,15";"83.065,10";"Executed";"No"
